Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,158.80594351845772,170.3112134396332,158.0812843141179,154.60250008631823,179.10014028509573,173.6598082540901,177.63862534182414,38.115261912612375,155.55604521958347,152.54064831100874,43.41436258890308,147.96140185099202,126.4954207591212,53.13010235415599,143.9726266148964,113.1591799192624,121.0,399,153.7824133825588,172.84567634955556,153.49990999634878,139.8769863094645,179.286811364982,177.9545915111128,167.1018474247824,13.868023811782157,169.20454641226823,163.47027821097942,23.492197355481153,164.29136217098423,136.7628212335216,32.15724595605556,166.13897243697883,112.89375536317321,127.3184982632139,402
1,151.8882155534963,169.67296306777604,157.63861049931435,149.43346241944107,179.50060410907355,177.9545915111128,179.03807612701704,30.72972382894393,159.32093665595028,159.1561320249021,39.319109182034055,153.80380067696223,129.6030482934737,49.44738485009049,153.79988515865267,120.93386622447825,121.01652779682617,393,152.5897804873542,174.54900630564288,148.1309154969691,140.24713890161644,179.18085627591725,179.39478540275525,164.79812190064882,11.4087182028818,169.84573341979976,164.83553910026154,18.434948822922017,172.87498365109823,136.60600298928225,29.357753542791276,170.53767779197443,116.2497311824849,129.18978287774928,401
2,155.82776079208682,170.29662631909804,153.91440022171858,149.33671107895194,177.33699923393283,174.55966796899452,171.12002869873612,24.45510832894474,162.89727103094762,160.67367532670227,28.12373538328882,166.11881915623655,132.26456184097572,44.065912446030836,155.99871903438702,115.76268828944843,124.14507642270796,388,158.94083114929595,170.3493484743523,158.19859051364824,140.79369969634436,179.29809600917437,178.02506598911805,158.74949449286675,4.398705354995591,172.5885071408212,171.099663258863,10.491477012331634,173.29016319224306,139.87389642220478,23.198590513648185,171.869897645844,121.79490958164057,132.03408650799233,389
3,155.5560452195835,166.1757004957386,161.2502423696889,146.55438848750575,178.66778014613004,172.2348339815746,175.5468309926701,26.012375912129812,165.96375653207352,157.02473823068175,32.75766880112557,165.11373315098248,128.78708674455203,43.32871402456269,160.94899126867875,114.73883387938018,126.25371281669304,388,152.52556837372288,169.15969454566945,154.93058237515288,137.3810302258944,178.3227112305758,179.48538108888368,158.33404127670977,3.5763343749974728,176.42366562500263,173.95897500890817,12.51258580145553,169.57419147411522,142.58499534060985,21.250505507133237,175.60129464500443,124.67958934805648,133.0338302838793,388
4,158.4429207149623,170.39479584498707,158.71056191934818,138.83903789683526,178.6573759734622,175.8150838748816,167.07924966416846,18.34298135854585,166.72360295768402,167.36109978809677,21.698790289489825,170.99149625797483,140.8862358033714,35.76819153063765,160.94899126867875,110.63905277974861,125.67418191498204,382,153.53065437897706,169.23679707323362,156.23061114004628,141.44275787384404,176.65263883853387,177.9545915111128,165.4857337063316,13.305236506091065,166.39635067391407,165.287952990666,20.34582148828682,168.78936687112335,137.2704496706651,26.565051177077994,171.2538377374448,123.71337841963576,133.0338302838793,386
5,157.2971578767872,169.24903300681197,156.13982480865766,140.3373999884427,176.88656125194288,175.6012946450045,169.78312037027325,25.26309850449911,158.0350444891853,166.612892760817,29.744881296942214,158.83874018317175,140.85495625313814,39.00461319592452,156.61477894278627,108.30050784737807,125.89678312014172,374,155.86102138059124,170.20664507886136,158.5365778640413,139.13344901161955,175.35202930861303,179.3190974949808,160.24893468970765,5.603985442536413,173.32351993959787,171.74295004077223,11.309932474020227,176.63353933657007,141.05587845303089,19.876872194603294,180.0,123.97580409095961,134.05968819895114,382
6,155.94560257118783,169.24903300681197,150.94539590092285,138.53857572447694,179.85956944905894,175.8150838748816,167.97810119947627,22.65189165209058,158.83874018317175,161.96747321297556,20.32313682966293,172.40535663140852,135.27348613066687,34.939310204677035,160.76932762433876,110.27692415006868,128.2692480682724,372,153.0041616059134,168.2317110679794,155.85856585284296,140.3305619425596,176.57695093075966,177.87890360333856,166.31486833447053,7.352379359892374,176.98721249581672,169.09441511679714,19.019579343627193,168.4762782961027,138.07609405034205,32.47119229084849,166.13897243697883,120.9297316626478,134.01492454200763,381
7,156.8936731417284,167.6020043455532,152.5924245621816,139.96119173838468,178.71781453702945,178.5048541980318,171.33858545951557,22.28097891296939,162.1005101626425,160.88653669271002,27.876938959582098,162.19464978548825,134.20427644726072,43.06941255883301,151.58733855692742,110.27692415006868,128.41339493993607,373,156.79224509431336,168.87285506556034,162.2087968912534,143.00472885729283,177.87890360333856,177.87890360333856,164.4900291262344,9.10387452665352,176.42366562500263,169.5170542233876,17.581350060770685,172.33804884502777,140.76263288659848,29.286740425449945,167.1682209574699,122.87391912037315,132.03408650799233,380
8,159.1781426849337,169.99202019855866,158.4046895510323,141.34019174590992,177.9545915111128,176.33481535138765,168.18660263286324,23.76382201932807,162.59729586864373,163.49093800462742,30.62798329842899,158.38522105721376,131.39369137740334,39.57477363157967,160.76932762433876,111.51681487560519,129.1239714383042,377,155.55024722531942,172.4681058670383,161.3891629206523,141.32223983187296,176.65263883853387,177.9545915111128,170.7446404069055,17.616493361233392,169.695153531234,156.04409069690334,30.226986752597803,168.52652150151687,131.52720643140455,37.77568430595466,166.45206101199955,122.64175471673585,132.00378782444085,380
9,156.5600639065651,169.08887161571658,153.434948822922,140.93741609948154,180.0,175.03025927188966,172.2348339815747,24.341089936692523,162.1005101626425,160.933360732262,28.642693575089428,162.97947438848013,133.81974678767622,36.9539089925476,160.76932762433876,113.74093370462545,129.71121771072848,379,153.87330412556872,176.27935704948476,150.93305033345325,143.88065915052027,180.0,180.0,169.80023070163352,12.666611295819674,173.41087812081938,160.92423860747678,25.649210862128797,168.89145783724751,128.91424888048243,36.86989764584401,175.60129464500443,122.64175471673585,132.03408650799233,379
