Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,164.08587908478822,175.23635830927387,170.3179775951432,178.0824303818854,178.86380259999865,177.0410225619763,179.37649134235647,177.60388018392035,178.25315812294033,169.6804886276604,178.80294895611127,177.87890360333856,163.5274637100543,169.26733544334422,169.57928760320553,158.4455742518547,209.88806540630173,375,161.66086342809146,177.19754848013312,166.35826572837803,175.1978428695252,178.76359239714378,177.51044707800088,169.6866583456615,177.82525588539002,178.78112476486868,169.3596214248668,177.05174927806726,179.55238582913944,160.18136420970947,176.9335144988742,176.03129333734398,163.4900608599801,229.61271741782946,377
1,169.56689087325998,177.7502512965425,177.2271575224041,177.27876302126938,178.76097148412674,177.02276018917902,176.37194274755493,177.43995259022645,175.57452508792107,167.86780431950044,178.5660177833953,177.9174347202692,158.54003926951432,173.07392653045883,172.94574826663523,139.21566003866087,187.52333188166213,346,169.69515353123404,177.22083313592807,177.22083313592796,179.50004951699177,176.41050325916183,176.6711103341445,178.8803553194708,176.01747942817087,177.83892051177367,171.67304084951297,175.22487733968234,179.2151753970083,163.53087815189383,171.0273733851036,175.23635830927378,140.4314779527724,186.90371852908652,359
2,172.18470645323313,171.94411493530993,177.43622978853506,178.60281897270363,178.78112476486868,175.9043295651865,178.78112476486868,178.15238973400568,178.31531568210372,168.111341960372,175.52917916450488,178.1883287473339,158.54003926951432,175.36453657309738,172.5685920288275,139.21566003866087,182.4636950190366,346,167.1015472290014,172.6735933398304,178.87116520333956,178.93207247400198,178.1523897340055,173.29782305576865,179.9012142711352,179.34691577290064,175.88353758127522,169.5847829524459,176.40643381213485,174.05313694602643,157.12273989285694,179.2760846306354,179.8304863540262,142.12670403551894,186.60117898877274,356
3,169.31746009604205,172.14122527591334,177.37537550382234,177.2951240142644,178.0908475670034,175.9043295651865,178.35421741620476,178.03353543170442,173.40008301808612,171.1937712182011,179.76550289385963,175.58012886114534,156.66074598805346,179.25754765633965,174.859202071466,140.4314779527724,181.19878586789702,345,167.13603256179195,169.11447294534128,178.26429541107169,179.18154453831096,179.18154453831096,174.32697786007466,178.26137021683743,178.71790767447166,175.42607874009903,168.70459485313123,177.9448132401072,179.30693969728884,159.52836394940198,177.13759477388822,180.0,144.80676779764127,185.85209172887994,354
4,169.56689087325998,172.88851915273943,179.06387775864383,177.72077397857333,178.80651057601796,173.4919649060732,178.45637483637498,179.62915870917237,178.31531568210372,169.50852298766839,175.04972776570818,178.6677801461303,156.403372068299,179.25754765633965,174.859202071466,140.18559127100045,182.14829123546562,346,166.25848530857456,169.99202019855863,180.0,179.18154453831096,179.42127443439267,175.72415888737115,178.41436258890306,178.56491530240626,175.42607874009903,170.24297428110373,176.40643381213485,178.45184230102203,157.86861084646804,179.49386670350378,179.6843239682435,142.36923825040296,183.92661580097646,354
5,166.7474658724678,173.0054820841252,178.6003815804596,177.72077397857333,177.6626941408762,174.2072035049678,178.80720065381718,179.8192568155927,175.6012946450045,170.25035915492055,177.54914736222875,175.72649954466138,159.10512701001085,179.1083088924789,174.6896884254889,140.4314779527724,182.14829123546562,347,166.25848530857456,171.38920122585506,176.86711438377512,179.6659176082509,177.6558675259302,176.6711103341445,178.81024446056182,178.71790767447166,178.02864094259883,170.89941198957536,177.210532308224,179.88896180662078,159.93030478852197,177.13759477388822,177.7093899573614,143.58621103713267,184.88915598271305,355
6,168.2249218652368,172.6526800189883,178.95318364559628,177.46145540160109,177.6626941408762,179.73474365662528,177.06944095434304,176.91872903667218,173.6360340730839,172.19981211581833,179.56374615010085,178.5056664087336,158.5688327237668,179.27782253845552,172.828287834613,141.15594213493105,182.14829123546562,349,169.79132315662793,167.8285417914125,178.26429541107169,179.4212744343914,177.6558675259302,176.6711103341445,178.88775684405027,178.71790767447166,178.02864094259883,169.84176390032792,177.46408190138214,179.30693969728884,160.59213730605646,177.13759477388822,177.7093899573614,144.80676779764127,187.0855419320264,358
7,168.2249218652368,173.0054820841252,176.50831530097943,178.4747331425977,179.47981914785146,175.9043295651865,178.65404307953798,179.34691577290064,178.59755861837422,169.88137227401657,177.43829375753666,176.2659918820558,156.07288886521525,177.07009535939022,174.93638314697003,140.91841611372163,181.8378398463862,351,166.25848530857456,169.9920201985587,180.0,179.18154453831096,179.99999914622634,174.32697786007466,179.58666358917412,174.9848505093276,179.68804784013983,170.8165166673485,177.210532308224,179.255940797111,158.19859051364818,178.60281897270363,180.0,146.74126890551273,187.77912557044246,360
8,167.7352262721076,171.41031568831406,176.54824609177797,177.77603875961435,179.99999914622634,174.68545433005528,177.73907354359656,179.53701387931952,175.75978878986885,171.4673323291851,179.02425381270555,176.2659918820558,157.61687565501276,179.1083088924789,168.08485292873502,140.68759717899798,184.05433980213562,352,166.2619622684951,167.71729191804488,178.60281897270391,179.4212744343914,179.99999914622634,174.32697786007466,178.74233639612117,179.05304855322638,175.23635830927387,169.84176390032792,178.26818039747138,176.7663878751121,159.12691310724108,178.60281897270363,175.6012946450045,146.4923206178399,187.0855419320264,360
9,168.2249218652368,172.6526800189883,176.6233769068234,177.90599201727002,178.36138852385963,179.73474365662528,178.65404307953798,177.07806362017095,178.02864094259883,172.13618551286356,179.02425381270555,179.045158746128,158.31035727641205,179.1083088924789,172.65877418863587,142.12670403551894,184.04890654388578,352,166.25848530857456,171.38920122585506,176.96624193108693,178.60281897270363,178.60281897270363,174.32697786007466,179.66249720806718,177.09294582168465,175.60129464500443,170.8165166673485,177.210532308224,176.7663878751121,158.4650805897066,176.62788496182165,173.6263606341225,146.4923206178399,187.77912557044246,360
