Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,148.0609761246769,168.40782458970895,180.0,95.47590684074936,170.7390484421416,177.56581502831816,91.43841824783705,165.2911464477893,178.92750538213414,89.85194921965567,165.854204505897,175.7108466711809,87.69979936805005,166.26690597578767,177.14551074227012,24.758836806279895,24.08318915758459,353,165.97278659969194,172.99360828390698,170.2261778916396,177.23129562581846,177.74542503406494,177.74542503406494,174.10916633430585,172.04511355074933,167.4711922908485,162.91446019401496,179.6238843117351,174.821178768129,154.87978825768568,177.7295503293349,169.5085229876684,30.805843601498726,34.0147027033899,379
1,144.088515978526,154.72227776444709,143.74616226255523,111.34000386958648,160.88124654935004,179.69029610004046,100.72658929641845,161.86191784440268,178.1523897340053,97.04867590879404,160.1678701497816,174.47245984834382,88.83773926458805,161.53669161190686,178.73436890284822,26.248809496813376,42.485291572496,349,146.21340115554636,178.1010494435228,171.08507304285214,119.8644818417604,169.1558766087448,171.36754789232327,109.0871793724506,169.71056390727796,171.23442728371447,98.1031649891858,172.90424604871382,176.81497628157194,98.27298430114331,174.9501077824899,175.0106374303579,16.1245154965971,38.3275357934736,365
2,145.86183782907543,168.04749251508528,162.87693895958208,113.87913795583252,161.65723001195715,176.93248294171107,103.9414102982794,162.98573588012377,177.39120525325072,99.13777767350852,158.59844200624713,173.21207877298025,86.88433086061,163.7298403305315,175.3955128430186,27.202941017470888,19.235384061671343,345,141.9939049541546,172.87498365109818,161.33464043718726,123.46689631165843,160.74659571538936,172.09726065683446,109.22106389501322,163.36553943331594,173.01043441415973,101.47869716861287,160.55996517182382,176.34321291001538,96.12147512504713,164.86615369129734,175.7830571708314,21.02379604162864,35.6931365951495,356
3,141.54256010355502,173.0132954633331,173.14488101989943,126.82357932164697,152.8662076975942,176.08286555795627,112.32721724960996,154.44673178092614,175.8392325608816,106.65890456956329,150.49484859913863,179.6429204448513,93.57574932420232,161.61629962451383,177.96367454520157,45.254833995939045,41.617304093369626,340,147.57840829737816,179.02771065946007,169.89070150750487,112.89146896699316,165.796062046486,173.45370921670605,103.24535512760364,161.10966657640068,173.92754359279232,94.64945627599339,159.91144393777202,177.6626941408762,94.36070031086751,164.51841694460106,178.37885408634668,26.92582403567252,33.95585369269929,369
4,150.18505052404777,161.9000015773748,179.14887182987889,101.2995471597397,162.07268728126775,174.64213250889637,88.12212255271464,162.0505970070861,178.25916984454042,81.9709482985892,160.70352544251077,179.9232988684277,72.25459107557693,168.1287443334183,173.85815227346401,49.678969393496885,53.75872022286245,345,145.23710319822868,178.3773240772807,166.6965695643759,112.05887438045573,164.05460409907712,175.04972776570824,104.27896423259949,158.00947541371403,174.8213536038979,98.14107225245448,155.35567148587282,178.21008939175414,94.12250930712344,163.9388977069576,179.75409687672752,21.18962010041709,32.64965543462902,377
5,144.0970279258003,161.565051177078,173.90722834266398,93.74673135424204,161.65057702165885,179.57716059532993,85.65462228463419,160.64734829645894,177.32759630962138,81.343339554392,159.50054318622705,179.68080675892367,71.39909010574459,166.87490041667002,175.7241588873712,43.41658669218482,64.53681120105021,351,143.0809355073745,176.62342891149197,176.65140518554315,105.66914751940483,163.54485769237152,175.89000203872527,99.55036790055503,157.85417558804042,175.6580954275001,94.71970502314011,158.67767550830305,176.4920050242661,94.03330188138054,162.25308815835393,179.64218557592008,26.419689627245813,28.284271247461902,383
6,145.44883830056526,162.52987147303875,168.89942997849474,91.49636577446341,166.01510602496919,179.92267780737814,85.62378318947842,159.9298083019417,177.84568866241395,81.58690116971994,158.88886771151326,179.02747986586445,73.09768296743596,165.17466203956056,173.6500888683456,45.27692569068709,56.639209034025185,353,144.90157209419007,179.73596601874212,177.33699923393297,109.77223285044437,160.05144716544564,175.603989268504,102.12958531742598,155.74547678423866,173.74484380208364,94.89882382273721,156.84847971623515,177.35958966064283,89.89301046236346,167.4668559721166,175.3476841656422,33.28663395418648,24.08318915758459,386
7,141.11738897809533,165.01380993229236,173.7612565084168,86.99109496250183,170.60021409055662,178.07605901544883,83.08020824828283,163.16391143064422,179.28384005452935,82.2846113559845,159.13625727738625,176.87620236357475,74.54896184184649,168.60862368671428,170.78508803369277,45.254833995939045,62.96824596572466,355,146.69893760880268,179.56594936786087,177.21907507537315,101.41435677636633,167.18040088376114,179.58977469831783,97.1250163489018,158.97089998149266,176.55057417661058,92.50546454848998,158.70218792183957,179.73184698355777,92.12410289928305,167.47354462403737,179.10792327524703,33.12099032335839,23.769728648009426,386
8,143.78710099993413,162.92329485028438,164.29445205824405,94.13612419187531,163.52117604725146,177.44890491099906,87.66476392555532,162.00409070275967,177.63005069664538,85.24314195225728,162.89427093777238,177.4176479481658,79.8599185692308,166.26549271785936,174.60339289968553,43.278170016764804,61.61980201201558,358,145.46711138355883,176.13878539980172,178.06319961377875,100.97611550189184,167.495656755422,179.32091775695807,95.30092651652569,161.565051177078,180.0,90.73488336306563,165.23457689007142,179.47490063301169,91.68328063744696,173.55120421992578,179.75906037939265,21.095023109728988,32.64965543462902,382
9,141.95816830709484,165.76016288537008,173.32850277705614,92.96660917083089,168.6483371768306,179.82794111927302,87.75657026579596,164.81799369389842,178.85423716182453,85.50430653702792,166.7046089414629,176.49905998627554,80.20322817373032,166.45802849352697,171.73364158995315,44.40720662234904,60.207972893961475,358,146.13869032361038,177.29799483195484,177.9659327183109,97.77714804706795,168.5687517796911,177.65072135251978,93.1033020884626,164.14445845187223,178.80651057601796,89.21322786374269,165.90800440759043,178.04815253030455,90.37927465759459,172.04910773795137,178.5913712646612,22.20360331117452,28.160255680657446,379
10,143.19128824651926,174.15414905637962,178.1214068653978,94.02220828546382,167.90965436273225,177.37577997221803,88.92056570523836,162.76249926893044,178.5775979863223,87.39245186113345,164.3508779117701,177.81657793407965,82.01218819648082,167.37753356019073,173.99099404250552,43.04648650006177,49.64876634922564,358,146.99083497903928,179.3190974949808,174.9363831469699,101.30993247402021,166.83616655079732,176.20461263390314,94.49865849866958,164.33183957824752,177.27368900609366,91.45975092225976,165.01818701221535,179.71366665401197,91.55884240230978,173.34492834774682,175.8064099245256,28.844410203711913,26.92582403567252,386
11,142.43140797117252,165.24957265323704,174.27338231264187,96.3240667263032,170.9328813089958,179.7537949736012,88.40829317308989,166.88470564683408,178.46281129926297,86.78318744241456,167.07068637490937,177.85576180916735,81.01109408975864,168.9024877103476,171.02737338510363,48.60041152089147,57.3149195236284,358,148.08485545961486,173.62075183238682,175.23635830927387,100.92867190587857,169.6686100443467,177.45728563913661,94.64379412710755,164.33915165337362,178.89829388479362,90.9731699502935,165.6285904048568,176.7622661307603,92.1458080434029,172.0538842162602,172.8221277809324,32.01562118716424,12.36931687685298,392
12,144.13145900347664,167.89525295804563,178.5745826834826,91.73434033873785,170.55855817716997,179.0942133398894,85.0880459417363,166.53637907886912,179.96924542456367,84.6520247095845,165.43026554937674,178.09876353538542,77.9527762494895,168.60862368671428,172.6942404666892,46.04345773288535,50.44799302251776,354,150.1392695089421,172.25770472102468,175.89000203872527,104.60685578945903,165.48361115564458,177.4738830883804,98.66010799615205,159.96278983080703,177.33699923393297,95.05864023708558,161.66167128703017,178.30900374949272,94.93583630963909,171.7270804536063,177.20188982122932,30.0,10.295630140987,396
13,141.290670773355,162.86700384965687,171.1034039588297,93.09915184274172,170.7351909442184,179.37554756499915,87.21055165497805,165.93602046767197,179.96924542456367,85.99675501847813,162.7503119957004,177.27368900609378,77.50834015921102,171.01891893931682,174.28940686250033,44.82186966202994,58.137767414994535,356,150.67952412241925,171.1123528018179,176.49468438474847,102.39896964826985,169.52696046492431,178.68524570861737,97.68410282637097,161.8424144714392,178.89829388479362,93.72976447675912,163.19911826825927,179.51943157198775,93.73139699916045,171.74056202012122,177.83642356471717,34.40930106817051,6.4031242374328485,397
14,141.8039840478218,160.03222960715377,161.27857466680092,90.19453255621727,170.0218954610878,179.458760422782,84.37958659030508,165.85500273389647,178.29719284607464,83.06850516118567,164.45206044171124,176.60028584087672,74.01535399192264,169.7292480107045,171.2891800458109,40.45985664828782,62.12889826803627,356,148.891967337205,170.4388636683059,172.3639237402225,101.89624817710164,166.66679296356347,177.6726822917437,97.06242819720985,159.92035661494012,177.65292961802513,90.97446216857777,162.27014394965633,179.72612168677807,89.13422954670065,170.6065152993172,178.14341248758893,40.36087214122113,8.06225774829855,393
15,141.21720191439363,160.13555975246234,157.61986494804043,98.11626390836281,161.565051177078,176.91234871501496,89.1514709763909,160.4275406475759,179.42833159196647,84.61068824002659,157.84976207164925,178.1323211605661,71.19976758998968,169.67058415902076,172.0565281894096,40.607881008493905,66.18912297349165,357,149.65135857182216,172.84487551960098,172.65307192970758,105.71682352501163,161.3666351334736,177.7798734038586,98.86777549158818,156.75272999125687,176.11118345855039,93.22040786061058,159.67686317033704,180.0,90.5281503540835,168.0842004278153,176.69153865344376,33.421549934136806,9.219544457292887,394
16,144.40893978717378,155.5990988480244,161.93214577625747,100.20021431032757,159.58361514857606,179.15332597613883,93.55653403241696,158.13729374899205,177.63005069664538,91.76166292102849,158.51822892435038,177.12370039710632,83.65705073269878,166.35518189944122,172.87498365109823,31.827660925679098,57.38466694161429,357,152.508369407,173.9897329375927,176.60801783290705,104.5210305333183,163.9962473067895,179.259147590611,96.85626276190214,160.07441934181568,180.0,90.46437708858494,164.6981854804569,178.00145671381946,89.43395186647311,171.70681711988186,174.50233251483053,35.510561809129406,8.48528137423857,395
17,143.06324616569725,163.83835915788006,176.78846220240237,97.56384238125057,164.8072430273407,177.07444590697298,90.9631902292378,160.9811356054348,178.4770309480714,89.9162206908034,163.14669004398812,179.25351742531132,83.6163826299109,169.4745339699104,175.05833167508823,39.6232255123179,53.150729063673246,358,146.72511201516508,175.7797161142423,166.40661364136474,104.53013747678155,161.13672659180855,177.21953422116817,97.77685396573764,155.35778309591058,177.69563143510592,92.12000901041286,161.35046124594862,178.60281897270391,88.63866450981281,171.36036363238796,176.68610425715565,33.12099032335839,9.0,389
18,142.2317596045547,168.2155791640726,173.8632364051863,96.33306983426068,164.1047316274187,177.82525588539016,90.72148615039448,162.44574217599327,176.7638837514867,89.50631952667902,164.09454538191574,178.85550848026622,86.79463500421049,167.58420157134915,175.60129464500457,31.89043743820395,57.0087712549569,361,150.80077629647352,174.0046131959246,170.87137949576493,101.2104463413069,167.03143068901963,179.17861140738816,96.04363683757379,159.642924859099,178.1523897340053,91.01138079837972,164.4309349621493,178.3310841978702,87.98202380515073,174.93638314696994,176.24827092947407,33.83784863137726,4.242640687119285,389
19,143.02723751043195,173.15091578449642,177.5177547470529,96.16653241085162,171.4163785198861,177.49976819277765,90.97340940896328,166.14186601707402,178.26137021683743,89.90683621297913,168.44548899939412,177.56335175318986,85.05434682028198,172.9197028124746,173.48799217858146,41.400483088968905,41.400483088968905,361,150.52411099675425,172.90424604871387,169.38815388006114,101.11562790473663,162.31560797344227,178.40885972880542,96.65845243324304,154.65557831479666,178.3841864773302,91.82248632764865,159.8576626847893,178.0039041139905,91.99573647948473,171.76385285462254,174.77150195430747,31.400636936215164,7.211102550927978,389
20,141.3452225457489,167.7633685368701,177.0251002598515,99.15392198429562,169.61517343380189,177.76390831227934,91.31516481538604,165.2628324955167,178.42460561425673,89.28337476194814,165.20924005558777,176.56758174640413,83.17112730476694,170.88042671289102,172.24261741226374,39.408120990476064,51.61395160225576,360,151.05956998231878,170.32298735127912,171.96941257749577,101.39838376316001,165.8034772371532,177.77603875961452,97.84633212616185,155.60361416973393,174.88513469953404,92.19162761262969,161.79856362061065,178.80651057601827,92.62115265593992,172.9508218325047,176.4866708553941,34.058772731852805,4.123105625617661,391
21,139.58539117972902,168.4741839224693,179.91279187934762,97.1265208859403,169.04890905232855,179.14246505594755,90.27457831098532,166.26021359420298,178.84433410617976,90.27717161573949,164.3799449612116,179.13100822695037,83.7658687308395,169.45466898535784,173.75368437900994,41.86884283091664,48.83646178829912,360,152.02999598821262,171.93719006115373,173.6034147885278,102.43386047465134,163.0950112216382,178.72696997994336,98.3814207015978,153.052519080733,175.81508387488176,92.18277421627441,162.41697024198317,179.6860536652076,91.32558998946831,174.62210780794203,176.4866708553941,31.240998703626616,4.47213595499958,393
22,143.91492695714788,173.4821015729118,179.23666690401424,95.9734504207487,171.65610841596688,177.8272185401182,89.41813403499586,167.2972058186536,179.6525656837374,88.5640244191547,167.438545126568,179.04615215377612,84.03452524482171,170.52413429157343,171.94316586615344,40.0,41.773197148410844,359,152.76835139458078,170.31368569608844,174.942751467441,100.77623574902834,163.79817584348615,178.75463573323168,96.28281660350203,155.81373609937535,174.63693057995337,91.93514304102327,161.98510068597716,178.25781597756088,92.41950921665634,172.71242190658444,178.01856397149814,33.97057550292606,6.324555320336759,393
23,140.16993481039702,168.78219631292163,179.0780785223617,97.2669544058117,169.46279611827615,177.4711113467729,89.17082882729314,168.79529381632955,179.15392130026126,88.73941611410466,167.61334555275133,179.09479032504098,82.32015721629472,172.23850232010042,175.40189018495988,41.400483088968905,54.48853090330111,358,151.316030393322,169.97739646750486,172.04601116757368,101.6040655054586,162.5580127615572,177.163495462037,96.86680423577123,153.26288994219414,175.81508387488176,91.67868915421481,161.37664775835012,179.7246887095973,90.80113593500404,173.44851561814218,175.83860430850018,33.301651610693426,5.0,392
24,140.79279649503218,168.67182627237358,179.1633032847057,99.7678646397328,165.8864939211147,178.92053027934858,92.71684814675154,164.93859333467984,179.80555805580425,91.74720100485602,163.9733365778414,179.20427644726072,85.03082054949778,173.4801982483431,174.95754893082912,31.240998703626616,46.14108798023731,357,152.15264735856,169.0137690509,172.56017484370912,103.41575675326168,159.02400636284437,179.36575528557452,99.70825707570206,153.03146408786327,178.20385684750428,94.77675962618522,159.84965786809366,179.51772368391966,94.59107154986418,172.51021445981513,179.6563276378757,31.064449134018133,3.605551275463989,392
25,140.8320438003904,171.81339588335564,177.40516142223183,97.71047331921594,168.74712689772574,177.190656934625,90.96143813290931,166.31953884700366,179.90915053145596,91.59621263142488,165.51841609130912,177.6626941408762,86.21256568990368,171.17141100153114,173.40839006496884,36.40054944640259,45.967379738244816,360,149.22846084580843,172.58359681557715,168.2682657264834,100.4779850178291,163.5122100652198,178.1221225527148,96.66264112825563,153.48071221535733,177.57366416839778,91.24948896068085,161.99844517674654,179.36056472387784,91.58196500468084,174.21099115482767,178.03353543170408,31.400636936215164,6.708203932499369,392
26,141.29018750799906,169.1026391659571,177.4906352601483,94.26789330029081,167.78863488911875,178.2158932591887,89.75103381125412,161.44273649354056,178.09698179982485,89.58202473588788,161.50357504239355,178.99491399474584,82.9564274903637,168.78936687112332,172.87498365109823,42.80186911806539,56.72741841473134,361,151.70296425603183,169.28824982444752,170.33841203087587,101.40085746153075,161.29069646793,177.64571192602517,97.44763204049241,151.91823514672947,177.84568866241395,91.62365379548332,160.9443890132155,179.77094898914237,92.58021655681763,172.35858682273755,176.84665891177283,29.832867780352597,4.0,391
27,142.8533133019782,171.0273733851036,175.89188782286416,94.45821486778132,168.25776147780184,179.9597642064086,88.44436163003769,163.98221528160758,179.42127443439202,87.95571874362909,163.47613256605496,176.10156038515868,82.32552048310606,169.5085229876684,174.66489425934432,47.01063709417264,52.69724850502159,362,154.29410933340677,169.5611643017777,174.60519735855465,98.13645584487213,160.21665235939057,178.17203175569486,92.93777490718387,154.38514427062287,176.09674261785983,88.95154096782032,161.7136504943533,179.77094898914237,89.19370136810561,174.96704993057836,178.03353543170408,31.240998703626616,9.219544457292887,389
28,141.12660376923188,172.90285802472638,178.74146685148384,95.06361685303008,169.18276175907604,178.17332639027487,90.08861826097797,167.41044937216597,179.77914731815883,89.52400557211011,169.5783452590764,177.61405596961112,87.2357765896985,172.30717481559824,175.3476841656422,42.190046219457976,55.17245689653489,363,152.5611982762207,168.50387500010066,176.62611407683647,102.85615191824975,159.1951018737235,179.0504331435648,97.70775252817964,150.7892706477018,176.7910578171741,92.45085263777104,157.46987633905297,179.06518678802036,91.65123248596176,174.21099115482767,178.03353543170408,34.66987164671943,3.605551275463989,389
29,144.46232220802563,170.26868549827793,178.74146685148384,96.22718902083517,169.37230256599844,178.1171875688646,89.72082188325655,168.12489937584743,178.52884269533394,89.9598143756965,168.46075764468074,179.3588735813268,87.07789402470323,170.2831784549319,172.63789158779014,45.221676218380054,55.90169943749474,362,153.2231913622777,169.5611643017777,175.50741852008466,100.69876232456132,162.2777543395437,178.0655341469041,96.47220943742407,153.0772740028696,176.2779849852837,91.29897439779909,160.92561590095502,179.13823432230507,91.10363507118696,174.93638314696994,179.81027956917433,34.058772731852805,6.082762530298219,390
30,143.27227521251297,173.17185031842294,179.2151753970083,96.08407774518089,169.7631200230943,175.46685035633314,90.50933761481882,166.6094914758253,176.83752960677114,89.94924269873783,166.33464227638183,178.09876353538542,86.3683558693954,170.63155391689423,175.6012946450045,48.010415536631214,54.67174773134658,361,155.11861620039255,169.31282321318616,175.15259260943236,101.1005700215053,160.23912203239618,179.2743164566291,96.91865799629488,150.7675786692699,175.66414847601942,91.4812823217795,158.84681797523902,178.59346659569638,90.44279754127344,172.52303349069516,177.84343732528527,35.38361202590826,13.0,389
31,145.14426144362577,169.23746277685754,177.77295303258626,95.66420101566008,167.26509325346439,178.03758746702366,90.0202158553156,165.55453208050457,178.03366928189686,89.74563639024052,165.8708194205354,178.1258439942741,85.97095349199374,170.66839560201007,175.7108466711809,47.01063709417264,54.817880294662984,362,154.82226463185341,170.9172440609395,175.47665288481122,101.90531083067278,159.50579262727302,179.2743164566291,97.36719813763732,151.33370428647433,177.87014679773483,91.47756309228829,159.7089715492674,179.13823432230507,89.41935607766908,173.64443862592486,176.18592516570962,36.124783736376884,11.40175425099138,391
32,144.46900159474205,168.99084179260043,179.52766297155208,95.94106159063698,169.16212838315298,176.90493606373693,90.7862829932864,165.65876286792198,176.4084869302089,90.68167917684369,165.75891374346918,179.6222949573795,85.14748032003924,171.4566709039002,172.13306538608728,45.45327270945405,55.90169943749474,362,153.00040886271327,170.25866269894817,173.98440048932812,101.47191526402355,161.53856214544095,178.15130620785095,98.09093296955176,151.70574957367762,176.40989342900255,92.6884628570489,159.8576626847893,179.50925585939936,91.27897400957747,173.64443862592486,176.18592516570962,33.60059523282288,5.385164807134504,391
33,145.19061916110203,170.53767779197443,177.7394980888588,98.90430274423726,165.24747800979623,177.9354920091491,91.80077466910144,164.81901855922825,178.03366928189686,91.55868420621083,165.6443550681942,178.2688150749822,86.97226725630648,170.74110594307072,175.7108466711809,44.40720662234904,51.85556864985669,362,154.1827719381656,170.2977638636481,174.59238531627395,99.72770660411831,163.52311860631204,178.40885972880542,96.53310609944295,152.09953504634464,177.96266930318015,91.39661035409631,160.39132627106667,177.89246633938842,91.04574209042988,171.42008722461992,176.84665891177283,33.94112549695428,10.0,390
34,142.37494182815632,171.1371906430159,178.421382027702,98.35479053378047,168.0165965178264,176.7809947729975,92.98550073816119,164.47746590067104,179.679915176219,91.94101452425869,165.54757174890705,178.09876353538542,87.49818155151793,170.74110594307072,175.7108466711809,42.01190307520001,53.075418038862395,362,151.7983717813053,168.3027331630603,175.2639275502657,99.64763709048991,162.2777543395437,179.65422399557318,96.89595768807213,152.66592414034398,176.82016988013584,92.44767133605045,160.60610901420387,179.08285668399705,92.04902417565141,174.2293939684257,176.0770042344202,32.202484376209235,4.123105625617661,389
35,143.3438915840331,171.38711612227047,176.10952300218617,97.49008380535749,170.55855817716997,175.71973065594239,91.13731389647243,166.78619970646344,178.68524570861737,89.20172336599437,168.43952649077994,179.33269164416484,86.19728548666974,173.25741339328718,174.76045631457075,44.553338819890925,44.04543109109048,359,148.49573328079583,166.93068210371783,171.97276248956808,100.2411980805389,162.0720802379928,176.72951207681643,97.39106433247292,155.07667945403787,176.1360927614909,94.68129002595043,158.9343347567741,176.5580259970795,95.31454566994475,170.53767779197443,179.51030440687165,25.612496949731394,4.123105625617661,390
36,138.17623633077574,169.4273890944511,177.17055043636677,99.16493204540795,166.01510602496919,179.92267780737814,93.09563817948413,164.89591853205113,179.96924542456367,93.828266679203,166.16471798111118,179.04615215377612,90.04287535706034,173.19094982038666,172.87498365109818,33.60059523282288,51.03920062069938,357,149.8146775068599,170.23530160627988,173.28738830947145,101.7320638678225,163.6229058001266,178.72696997994305,97.6015605187148,155.0065126483907,177.20070079141823,92.26654826293867,163.8724241740402,176.98721249581686,93.5058338820763,171.75065582109363,176.38611924799613,29.068883707497267,6.324555320336759,391
37,140.72006351419245,170.62065496714683,179.27170304692382,98.16349000261005,168.74292339614559,177.8272185401182,92.18335006364546,164.47019222249392,177.20070079141823,89.80742690402826,167.18894935457766,179.78677905096535,85.14349252424763,173.6650183822482,176.19233265612291,42.5205832509386,43.93176527297759,354,151.81465462436537,165.08360968990633,178.81836003469627,99.70952979486738,167.1933179203983,179.30008637628885,96.45767662917359,156.49470807058026,177.71390090326517,91.65781046298291,160.60610901420387,177.6140559696113,91.48786752882778,173.44851561814218,178.01856397149814,32.526911934581186,9.486832980505138,391
38,139.84860818234188,171.08507304285217,180.0,95.21117842551826,173.45556856376072,178.84387467590324,90.03704268403438,170.32991158028068,179.1215986121313,89.47736200338228,170.53767779197435,177.13759477388808,86.63353933657021,173.19094982038666,172.87498365109823,38.28837943815329,40.36087214122113,354,151.2781488917256,170.68794738245646,177.26759910926853,100.43674142967136,165.61729131566602,179.04633589138135,96.65845243324304,156.6985567511146,177.54184202253742,90.7764915964887,163.23804973282628,178.83086067209288,91.06861109840408,173.28000416605633,174.3618353333335,30.479501308256342,13.45362404707371,392
39,141.02159013904335,167.76960511084343,179.26899303816484,100.22637394890283,171.68618018519845,178.56790381583548,93.00088930489159,168.78633050582255,177.69336092448467,92.00770149892917,168.42212351117726,177.2581692655574,86.33615211558718,174.88268515002733,172.87498365109818,34.828149534535996,44.10215414239989,356,151.3895403340348,171.18841668855976,174.23736711340158,100.88676185088089,163.30075576600638,180.0,96.73899583564675,155.50710236743893,176.91652790597925,92.24997724084331,160.75496628042734,179.36056472387784,92.94443025202517,172.71441914962554,176.38611924799613,34.058772731852805,6.4031242374328485,392
40,141.45754468404766,169.68845775242687,178.84848110603627,98.5020353120012,173.34557495399346,176.63353933657007,92.51152746668022,168.9628434675287,179.28139050502276,92.21375995203512,169.82448915695676,178.56790381583573,90.20913319769954,171.7221491060008,171.17881992572183,33.28663395418648,48.877397639399746,355,150.80251395393555,168.5471855789925,177.7165461153852,98.44784482962514,165.77403610124819,176.72951207681643,95.34331988206091,158.31429170383856,178.5205824962449,91.70391164641418,163.26472392666406,177.6140559696113,93.29038623834863,173.65980825409005,174.97169603659412,29.0,10.295630140987,392
41,140.11936897751318,171.6561084159669,178.17591016762404,99.64755705198566,171.94839392669707,178.12669310411297,92.52259829037877,168.3384474848074,177.8560655864066,93.4023846544461,167.75766880112556,177.34902858070402,88.34479120569577,172.65380667897105,171.6199721665895,32.802438933713454,45.48626166217664,354,152.09590235410636,168.19354531790452,179.01068926403718,98.99722129895973,166.08719275785532,176.63756659315402,95.93152692491977,156.93219857150424,178.70132568065395,91.54706651707224,162.64118020282427,179.08285668399705,92.88725377148468,173.4596141718034,176.18592516570962,31.144823004794873,10.63014581273465,391
42,142.78495123099185,163.40585198188134,168.52166108226572,100.53277338662534,169.92964492482386,178.03072036386666,92.81463533763544,167.5224407382843,179.20427644726072,91.46750375489326,168.40782458970895,178.53119928561406,86.91175385445398,173.85678480341556,174.38241940987325,38.41874542459709,48.76474136094644,356,150.11240642431798,168.33473272365922,174.82199763410676,99.13634572130945,167.42453450025562,179.17861140738816,94.90866506539527,157.71084439989272,177.54184202253742,90.69027719786507,161.617955852267,177.56335175318972,89.81517554587852,173.84463270821152,176.00668254657725,35.38361202590826,10.0,390
43,142.16615162779655,172.5685920288275,177.85241457170144,97.76323717376653,170.48316972788166,177.66797631837687,92.2365731220909,166.79028978582943,179.43438059798646,92.22876496118565,166.86597769360367,178.75463573323168,87.757186216984,170.7273982227997,173.13673919836987,34.20526275297414,44.598206241955516,357,149.03624346792648,166.78091509298343,176.87620236357486,98.60647351978888,168.55895613123255,179.17861140738816,96.24361235231966,156.80140948635182,176.232876080778,92.21175021555447,160.60803870116467,177.56335175318972,89.94976014385628,174.6222962180563,178.44484049493295,33.97057550292606,7.810249675906654,387
