Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,155.59131229492527,173.35995868093582,105.03601545172373,105.0561297618125,77.47119229084849,110.34410125591839,99.29271143867807,80.21759296819272,103.2405199151872,90.39947455900467,83.5128277988349,104.88626684901757,85.34274143834197,83.71052743191298,111.75446498271234,19.849433241279208,52.392747589718944,374,130.52021576585113,177.457016152072,160.0893738689286,170.20837090842937,87.39966486554094,123.19137410827604,165.38326962224616,86.24232656172184,126.50144112050633,162.98745319075599,83.0868695564066,131.71613771209365,162.12369607858952,87.13759477388825,125.09581678702612,5.830951894845301,49.73932046178355,369
1,158.32367889021197,170.28972517304396,100.09416040255036,105.5878127613628,79.96345562451654,109.27557149625126,97.17884045661323,81.32682595212023,104.74356283647074,88.36515201591702,82.70268856623044,106.66575751687542,83.84005864364322,86.00222239127802,108.74134044519273,18.601075237738275,51.264022471905186,367,130.4593943866822,179.05304855322638,150.0684881594922,175.5789978990286,89.9528817708907,128.84190922274252,166.1336945963107,83.84539652559886,136.46303190857435,162.01103941519213,84.95669097839416,141.67988606322257,157.1395762649991,94.8021900900543,136.33221985386965,13.0,44.384682042344295,372
2,156.66491900457015,170.31121343963315,96.1701750950296,107.74300445074736,77.28827844436472,109.34135307413688,97.41706779955703,80.0493733120484,104.74356283647074,86.78050510314718,82.31447285161838,103.84069549165562,83.22145295144337,82.47149891603947,111.17573941710458,21.095023109728988,53.14132102234569,365,129.8978347476418,175.44004991258817,158.67292382108516,174.82283636832273,85.32583628886923,123.6900675259798,166.7543941339573,81.02043432984954,131.1214754971523,162.1920343758259,82.12918730441477,134.9054525948732,160.10015125274032,90.84252426074042,130.1978099099457,10.295630140987,47.853944456021594,371
3,144.71156818123904,177.89547265421052,100.15976591914355,100.49704180290406,82.4937649119677,121.30742889419773,93.22797925467069,84.11506907017416,110.22485943116808,86.00520538676166,86.71203561742321,108.43494882292201,81.10321156651011,86.71647765157351,114.00400764811762,20.615528128088304,51.97114584074513,387,131.71472352526158,174.8055710922652,170.0493733120484,168.95109432834522,92.48955292199916,121.20051460398065,162.87973483034128,85.086652737452,129.8222900236591,162.18596112331736,85.5288650193687,130.06614822676968,162.29610131753037,93.07333251107335,124.76312002309429,3.605551275463989,52.0,378
4,147.95772160114186,175.3645365730973,97.52850108396055,103.12881746338383,81.46268835831741,119.77914910356985,93.50182415184004,84.50544100980972,111.6617018207747,87.80707107936306,86.15293019123256,104.39095376540097,82.78925668033378,85.71483655850332,113.45310366889905,19.1049731745428,53.33854141237835,402,134.11343594815315,174.37825713611542,168.80488857370005,179.6851911926125,91.87349301359993,118.03620848174394,170.28551074531472,81.7548460343901,131.42366562500263,166.527894484451,81.77623891518625,132.09407900034665,160.93358846953302,91.98494258994282,124.17488833462993,14.422205101855956,51.86520991955976,401
5,151.19194083453473,175.11799163948547,96.59060876814888,106.40070801336185,80.1259407482426,120.02316406045793,94.95983767246547,82.70813864591149,107.36245420505634,86.46064191137033,85.85537625889572,105.25511870305779,81.93231132433004,86.76869120619534,110.93563903305245,27.586228448267445,61.773780845922005,409,139.7636416907262,175.98582430458902,173.17387024108044,175.89908048928686,83.29016319224307,124.07719528013074,169.50548457895772,80.76688833874121,128.4759006351263,167.72325848543818,80.41815063051473,130.05087667996457,162.90683946431108,88.40252380275437,122.34744349944204,13.038404810405298,58.137767414994535,414
6,154.91062613107138,172.29916605785317,92.26050191114128,107.53821854286392,77.56394670949427,115.68814343564733,96.68511935781092,80.92387678612273,103.97293324008736,88.10475716604445,83.38653951768524,99.86580694308438,84.06507916450045,80.92356029955084,115.40554978547414,31.240998703626616,63.953107821277925,412,141.2674814048493,178.12212255271461,177.97738370490322,169.95065141187513,68.84681797523905,123.69006752597979,178.51056479970097,66.69879028948984,126.92260763972564,178.3357658572834,68.79136608858009,130.62225907125992,164.18023648788594,87.53124757790164,122.88737707401499,14.866068747318506,58.0,412
7,159.03395404988674,167.17182964249028,88.57419153350186,106.9271957889306,79.83060429429555,111.97971527851689,95.95713111470822,82.10850440602663,106.09347218955823,86.29611584327222,86.63353933657021,100.78429786756261,83.06702049799874,82.43029494518218,115.01689347810004,34.828149534535996,67.97793759742936,414,145.99354333317828,177.22452586001688,174.75286109838356,170.06599482206204,76.49713860534284,118.31036592685439,175.3645365730973,69.40952567318554,128.6968569262709,176.94440654224715,69.75040340204161,130.50284838533224,169.63805354208057,86.70716059963512,125.74427225544778,16.1245154965971,60.8276253029822,415
8,156.89088746594723,171.1258384429554,92.25149496166368,108.43985134532925,76.21840276434638,116.56505117707799,96.6627191657392,80.81116392264124,104.03624346792648,87.12387620118386,85.1747830728902,101.81228222754099,83.05901657125742,83.418055344822,114.10751302890087,31.144823004794873,64.8459713474939,415,144.5324301932419,175.3221364849948,162.47443162627715,172.02391818751633,72.22024754080661,121.02027237438061,176.95741186610314,66.45339964422767,124.6551425185248,179.3176210659987,67.70284212321282,129.0938588862295,166.11631245021763,87.67363819642493,117.77176830012391,18.681541692269406,61.71709649683789,419
9,158.8346650507693,170.42619612920222,87.80838575646753,106.31491974453311,77.47119229084849,115.34617594194668,97.20781920018794,79.84573341979974,106.69924423399362,87.51210912596584,82.84258875471237,102.87859444726772,83.05028202943811,84.792583269862,110.93563903305245,31.144823004794873,64.40496875241847,416,144.6953561413402,179.04095318090972,173.3057708681068,169.47416810014946,72.81041544384634,117.28420729362306,174.68178355319725,67.04442830135058,123.59619140106001,175.2485366514666,66.70024980419305,126.0669671452695,173.45474191599752,83.71573173912194,116.90916583534512,21.37755832643195,67.47592163134935,422
10,157.60039645422188,174.04464176045406,92.22396124038549,109.30488295855105,76.56808888212451,111.19707713630082,98.19644247832699,80.22103767326361,102.02857022214818,89.33197248611465,84.03551289874689,97.76516601842535,85.95585946264067,83.933717374301,111.4111426158502,31.827660925679098,65.30696746902278,416,145.97565517281257,179.10014028509573,170.81945804237384,167.4793378380659,74.36035163735772,115.99401580396322,172.7527311065123,69.12098311944258,121.85966689073096,176.01410670997274,69.41921887576109,126.19699157817324,168.85021285271927,89.75584332655694,118.27265031377569,18.35755975068582,63.7808748764079,422
