Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,163.65711745655813,178.95837332399054,165.1577729420889,150.7285099813001,103.89273524075443,129.902600262021,153.75651959694483,97.00771164109143,120.38218292752151,155.7490250950303,86.62877183953401,134.61460819226696,166.3730051401085,104.03624346792648,140.76263288659848,32.2490309931942,92.31467922275417,432,164.33130201370204,145.59324560781894,145.22900828735953,95.15134166895382,75.26811587912641,111.76235306464858,90.66234944737221,71.34456273465405,121.72935612359632,93.22935109241914,70.267310500339,126.5910882673993,88.91907581333932,79.77099171264048,125.78897345918334,29.154759474226502,33.95585369269929,410
1,161.58397316434025,178.46222761530268,170.4257721149082,149.77816173293738,109.4400348281762,127.82473889971622,155.22549342339485,98.0293652305581,125.90972307917767,159.65049439959827,92.15296278910047,137.72631099390625,169.12971343605963,109.90374953730785,144.03948280335513,30.083217912982647,92.31467922275417,431,176.42366562500263,157.01128319791934,149.3002774491856,93.49748639274905,87.94542711907431,120.96375653207352,92.03424080956017,76.11749295202542,132.6223023396626,95.01926170066521,77.10625595511785,127.49886796283378,92.79806147600901,84.52859089040416,122.08218715606607,23.853720883753127,37.0,404
2,157.75957175337857,178.2968714216882,161.07996209459273,150.63761246975392,103.80183772920822,134.7359660187409,156.0876824482491,94.57392125990086,128.45114472921716,157.41163095594874,85.51539399045538,136.8476102659946,168.23171106797938,109.29004621918874,136.7474648062331,37.107950630558946,93.43446901438462,429,168.3910707384553,148.5147406379519,150.3468407904141,93.36966065111221,83.73400336489078,120.75864125255224,90.46039385859387,74.20180960321844,131.82016988013578,90.62983725431577,75.16522556685348,131.51317022896288,87.74373479335766,86.93351449887412,125.14867265719195,24.596747752497688,39.45883931389772,400
3,161.7933200072314,178.1162446307274,165.88353848226444,150.4828488346593,110.8039623597791,130.8150838748816,155.00675826158843,100.68736474535997,125.07932133397397,159.98940413340742,92.15296278910047,137.72631099390625,169.04250291670996,112.36189379835332,141.61997358669876,31.78049716414141,92.84934033152847,428,176.9485178122068,154.8305096319253,154.76373635309645,91.41901845874452,87.71497997128043,112.9057696584172,86.59655045887276,81.27386422370128,122.13082532733105,88.32760563891074,80.93349726018383,122.14190982700183,87.90440470704867,86.12373408196322,117.46022488728907,24.698178070456937,37.107950630558946,401
4,161.3010171958189,180.0,165.96375653207355,151.02488132440055,109.11585132794106,126.04186763713773,154.12967993427625,95.78186172236671,122.62968643571287,158.09806843953191,91.09683968056052,132.33699923393286,169.12971343605963,109.90374953730785,140.31454566994478,34.23448553724738,95.01578816175763,426,175.91810856329116,161.46907843683175,154.31185656435267,90.5601364233674,88.21008939175394,121.96884253732769,87.8996924922549,81.99527114270714,125.53767779197437,89.97114532079776,78.9739084145874,127.30394827798344,87.37213526576598,88.59425073895368,116.96571443287016,21.540659228538015,40.52159917870962,404
5,158.16495965495147,178.05851360908548,167.69946112100192,151.09127269620757,109.18224269974807,128.91530613473125,154.10966743787978,96.04409216224111,124.06090881680787,157.86547926972682,88.83613749833602,136.37373621323155,167.40667004389692,109.98310652189998,142.49132510437715,33.37663853655727,93.72299611087985,424,156.61477894278624,173.60560223477242,170.13419305691562,92.82724515820773,85.66283681200625,120.34324888423959,89.5484512199221,82.36867145500767,123.41658139531292,90.90282607142188,80.2968026298983,122.15810371582783,90.39696209759742,88.06319961377896,113.8752808539275,20.615528128088304,36.0,404
6,160.31004871685974,179.69604646142184,165.26967861915512,152.89187712919824,113.62495095329461,132.25920940581742,154.55662279802712,100.22900828735952,123.69006752597979,159.48635122686383,91.83987421407981,140.07673026574682,168.33488233544807,114.70602627242316,140.1021652523582,31.78049716414141,91.8313671900838,425,179.6085746326332,157.70900800868395,151.54602001508067,91.3234294612548,85.13180408315033,122.04040507383988,89.21517539700811,79.66729948407823,123.16635469383934,91.26011004594173,78.8961665633639,119.96956947656675,87.17710274072044,87.16121215899463,116.24134965215777,22.47220505424423,37.21558813185679,405
7,160.3461759419467,178.95837332399054,167.00538320808352,149.91186651960345,108.71795216786424,131.0384731174898,154.12967993427625,91.3250323401246,125.01941260101975,157.49503539471786,86.76029970389789,136.7357045889284,169.26373852076406,110.66291172411347,144.824307406347,28.460498941515414,89.81091247727082,423,143.61564818416414,174.39713932001925,179.1987126698933,90.30043181436963,90.33214572574693,123.04812486997523,85.4668503563332,86.85097958115242,119.95997471919628,86.40647666987144,87.31622484053102,116.56505117707799,82.82130002919662,95.08898255286061,111.16125981682828,20.396078054371138,41.048751503547585,410
8,160.82737803964577,179.69604646142184,167.00538320808352,150.07088853568274,109.79887635452492,129.9575489308291,153.069495227879,94.46084825851656,124.60398051053164,158.5736562025936,89.96001690843508,138.4064437549947,168.75760903171428,109.86318651056823,145.5469185621301,26.92582403567252,88.81441324469807,424,157.4021295919591,174.3296426561061,163.7798063043972,89.3010813393007,88.75823392329275,115.30381830093509,86.20221162903255,81.43129121775264,120.80144597613682,87.84343732528521,81.8121979880955,119.96956947656675,85.844464439969,86.65967792030115,115.3461759419467,21.587033144922902,37.013511046643494,411
9,159.6085028045145,179.69604646142184,168.64196024970022,151.49966336979307,112.23273719388948,128.9524629255749,153.92219483163575,93.51300956963664,128.45114472921716,158.5736562025936,89.96001690843508,134.61460819226696,171.677949170722,112.78352664957602,142.8476275046849,25.0,88.23264701911646,423,149.73115175044953,176.82468384684134,176.69416976845017,91.98364493662994,87.0181020843667,119.93976414918085,88.73818246111388,81.2538377374448,123.6900675259798,89.61399000144974,80.47405118901962,122.15810371582783,84.57519398549175,89.43884478437323,112.56700907787462,20.615528128088304,39.01281840626232,410
