Frame,L_A00,L_A01,L_A02,L_A03,L_A04,L_A10,L_A11,L_A12,L_A13,L_A14,L_A20,L_A21,L_A22,L_A23,L_A24,L_Spread_IndexPinky,L_Spread_ThumbPinky,L_Wrist_Position,R_A00,R_A01,R_A02,R_A03,R_A04,R_A10,R_A11,R_A12,R_A13,R_A14,R_A20,R_A21,R_A22,R_A23,R_A24,R_Spread_IndexPinky,R_Spread_ThumbPinky,R_Wrist_Position
0,155.34582148828684,177.74542503406508,160.47383495181538,149.57494488312327,125.38543072909904,146.853004167744,155.3351540200188,110.26891615413682,136.10881212775993,161.43305137650086,102.59892284385947,143.17915694791753,174.98307896345523,115.25316339457389,145.10929849249518,32.55764119219941,63.15853069855251,414,143.4889438805047,179.2151753970083,167.90524292298792,164.13469937618146,93.2461336869928,106.27967320213052,175.8202273534362,84.89783474764181,122.54030658725726,177.954591511113,89.42896462688523,125.22617789163957,167.83497012971304,111.31791227546155,113.68208772453846,14.866068747318506,46.010868281309364,393
1,147.38921480666772,177.07639644586138,175.03025927188972,150.87519485843717,94.18491612511842,124.5325917867202,151.1353006407781,86.9524076285675,113.10632685827157,158.88273802225945,76.82450576779036,121.15930450834438,175.65499264194693,95.46909497011194,123.08137032604579,32.01562118716424,52.839379254491625,398,146.61673425127015,175.60129464500432,180.0,171.45131359216484,78.08485292873497,112.01128319791937,177.146864708277,73.75436695452574,120.32360686255,179.89576279629728,71.56505117707799,125.86038486322762,164.58501390790113,84.9387007498937,121.25848530857459,16.401219466856727,37.589892258425,383
2,143.31481508764088,172.26412843936768,168.8304980769171,149.67520336691814,81.04752666584584,128.6973546310964,151.86865763593894,73.17859010995917,120.46554491945989,159.87207273944912,71.08358537123964,123.56631873457334,174.35910633120054,90.84563275571963,124.99202019855868,31.622776601683793,54.91812087098393,386,151.3586697661637,179.28384005452935,174.00259942608443,170.10784108475372,69.77514056883193,120.14138555207535,175.74803439411508,63.765107018642155,123.02386755579664,177.84472437920869,60.49484859913863,130.8150838748816,166.04196835100433,79.62415507994895,127.18470645323312,14.7648230602334,39.11521443121589,376
3,146.91514707126504,178.88398960859274,169.69515353123398,147.42637706580723,77.12499844038751,124.69515353123397,152.4495807813473,68.21925998588036,122.63253161664758,159.95475057457898,67.83365417791754,131.82016988013575,173.55458196374022,96.80131482398158,129.04120943675883,28.231188426986208,55.44366510251645,381,148.33754908494302,173.8113840367584,159.77514056883192,173.1988588032757,68.8525586038813,122.2344342189414,178.90448869280422,65.24662007558821,122.35784767211017,176.80911318797018,65.65891006330749,128.81138403675843,164.87714997176994,79.4567536053137,121.26373169437744,14.866068747318506,37.44329045369811,372
4,147.86333559818843,177.59666066706777,155.87901688055743,147.09049368097018,77.79953127261922,118.07248693585296,152.66127885417313,72.00130502697846,115.41928833890289,158.56416187218642,73.23744553816725,126.41637851988604,173.25133462548914,101.44788352249083,127.65395516518004,25.632011235952593,54.45181356024793,379,151.00861299131967,174.45153370628185,170.39479584498704,174.53233002458182,69.26203363194173,124.04187929445722,177.86333051765166,65.51085928296315,126.86989764584402,174.87868348922143,68.28606491822357,129.36405930170656,165.42829754650901,79.61265426569528,122.72421420622108,13.416407864998739,37.21558813185679,372
5,149.22021073283955,178.3120078026828,123.40782458970894,148.7303377352711,74.43307060918943,121.43894759928277,155.75948571396242,70.6747031873569,117.99002544959343,159.21018249654253,67.83365417791754,131.82016988013575,172.14668669802177,93.456619172042,132.6626941408762,25.079872407968907,53.075418038862395,375,146.73121737818883,173.2220512658009,160.44540649654883,179.00664154382596,66.4950178640811,124.50852298766841,173.933445756947,62.07342166750961,128.05720496157286,171.3945678287843,63.43494882292201,128.6598082540901,160.91275549480238,76.04752223191507,127.68835310753265,11.40175425099138,33.12099032335839,369
6,145.3702194139805,175.05065104236527,151.89373017919814,149.77976199084205,74.43307060918943,122.72421420622108,152.60503089410426,70.21033592604736,119.40282100558369,157.66688168136895,71.52251534264072,126.41637851988604,170.53767779197435,91.15733306812952,130.7205364697548,25.632011235952593,52.32590180780452,376,152.89733664317416,178.03303923976404,168.1901170429717,179.51478311484885,72.4094566401526,123.83200558288966,171.6264060964332,69.8293465881496,123.50343698241421,171.23225453804642,68.71494080552114,131.7018570063156,163.15924388584534,81.1982916767922,122.72421420622108,12.083045973594572,34.48187929913333,370
7,146.44104386876745,176.12147549715218,151.89373017919814,147.259499330456,76.32869286780416,120.96375653207352,152.4495807813473,67.88550193862754,119.01567152555857,157.5821664456456,69.05439742881218,126.15818543980834,172.14668669802177,93.456619172042,130.0302592718897,26.0,52.32590180780452,375,148.5840212427472,175.07485513035937,170.3112134396332,177.78677182360397,70.84438755456033,123.83200558288966,170.5376777919744,68.4429207149623,125.2933475906603,171.85563787025168,66.8430791368328,128.71750791183862,162.41768586289666,78.55066201149997,125.58171758308086,11.704699910719626,34.9857113690718,369
8,146.44104386876745,173.45370921670596,139.7636416907262,147.47553410338506,72.96223220437436,122.72421420622108,152.4495807813473,70.45623904931807,116.44493441486804,157.5821664456456,71.52251534264072,126.41637851988604,170.21759296819278,90.83724824434785,130.7205364697548,25.632011235952593,52.32590180780452,375,151.09081634885217,174.95411537300285,166.28672819304748,177.78677182360397,70.84438755456033,127.17538172721682,171.03435386502923,68.03943597990354,128.6598082540901,172.19439625180692,66.55707928503772,132.24751459973132,161.81247126565182,80.19750328475476,128.08877288097534,12.649110640673518,34.9857113690718,369
9,147.63049420688017,178.3120078026828,103.18296515854085,147.8739506144349,74.43307060918943,121.43894759928277,152.3094670856957,69.06563158055728,118.35496178532405,159.82375886845034,69.18951415402421,127.48785589694725,171.56283237066813,97.33677380954612,126.40877456777235,25.0,51.85556864985669,372,144.958070598461,175.07485513035937,174.70991879462866,175.79317530579934,72.25532837494306,130.0302592718897,166.75250967422846,73.71946322032251,126.02737338510362,165.38130652029852,71.56505117707799,132.36756513101352,156.53230489191907,83.81560876610578,129.1303995569853,10.770329614269007,31.38470965295043,365
